date,month,day_of_year,mango_stage,stage_description,water_sensitivity,heat_sensitivity,disease_sensitivity,recommended_monitoring_focus
2025-01-01,1,1,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-02,1,2,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-03,1,3,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-04,1,4,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-05,1,5,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-06,1,6,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-07,1,7,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-08,1,8,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-09,1,9,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-10,1,10,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-11,1,11,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-12,1,12,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-13,1,13,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-14,1,14,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-15,1,15,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
2025-01-16,1,16,Flowering,"Trees are in bloom; flower panicles are open and pollination is occurring. This is a short, sensitive window for the whole season's crop.",Medium,Medium,High,Watch for unseasonal rain or high humidity (anthracnose / powdery mildew risk on flowers) and avoid waterlogging around the root zone.
