date,vv_mean,vh_mean,vv_vh_ratio_mean,orbit_pass,scene_count,latitude,longitude,buffer_m,vv_level,vh_level
2025-01-04,-10.064089251949529,-16.90111204908814,6.837022797138614,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-01-11,-11.278932562599964,-17.55967530153182,6.280742738931854,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-01-16,-9.930758098998858,-17.26181087424621,7.33105277524735,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-01-23,-11.690845167824532,-18.284298691355225,6.593453523530693,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-01-28,-10.829777352117516,-17.934801042239677,7.105023690122161,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-02-04,-12.366817849829312,-19.18908482469061,6.822266974861298,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-02-09,-11.342475739161433,-19.10338525330635,7.760909514144917,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-02-16,-12.930034745098606,-19.92121431885708,6.991179573758476,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-02-21,-11.425651541944845,-19.30225176024076,7.876600218295918,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-02-28,-13.132307341834087,-20.252526090410083,7.120218748575994,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-03-05,-11.939832724761535,-20.14609461362999,8.206261888868456,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-03-12,-13.087799250151589,-20.0074606691462,6.919661418994611,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-03-17,-11.74168284359654,-19.97080860850957,8.229125764913036,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-03-24,-13.384840883563712,-20.4025163034198,7.017675419856088,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-03-29,-11.977412634906312,-20.37124955408462,8.393836919178309,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-04-05,-11.342738179395749,-17.966395453475123,6.623657274079374,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-04-10,-11.7163472301665,-19.998264861923392,8.281917631756892,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-04-17,-13.049309796393674,-19.99748315094314,6.948173354549466,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-04-22,-11.321882841022417,-19.154139325348847,7.832256484326432,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-04-29,-12.919493500183997,-20.11437816376396,7.194884663579963,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-05-04,-11.225291934215388,-19.33372081553985,8.10842888132446,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-05-11,-11.479484252980525,-18.459389646872182,6.979905393891663,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-05-16,-8.740924596745096,-16.162209100155962,7.421284503410867,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-05-23,-11.558986595657528,-18.007434022439888,6.44844742678236,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-05-28,-10.577372839435052,-17.701336825558762,7.123963986123711,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-06-04,-11.849468214526295,-18.46172467344661,6.612256458920319,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-06-09,-8.767684574335227,-16.654268492565407,7.88658391823018,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-06-16,-12.085778900222405,-18.917082773485856,6.831303873263453,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-06-21,-8.18679968759435,-16.796074367715363,8.609274680121013,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-06-28,-12.40371174611788,-19.33954408848182,6.935832342363939,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-07-03,-9.998384913156716,-18.21787601417129,8.219491101014572,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-07-10,-12.854874984254474,-19.5264394676837,6.671564483429227,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2025-07-15,-10.20687088469169,-18.28985743358559,8.0829865488939,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-07-22,-11.204233842545936,-17.928358952817895,6.72412511027196,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-07-27,-9.978982157456937,-17.312726333980105,7.333744176523171,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-08-03,-11.95589847082178,-18.4651998002201,6.509301329398317,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2025-08-08,-8.97396512123766,-16.090814277115435,7.116849155877775,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-08-15,-10.965910885389292,-17.23351717553613,6.267606290146837,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-08-20,-9.590954977709284,-16.635893796217168,7.044938818507884,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-08-27,-11.37074573217565,-17.694043319915263,6.323297587739614,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-09-01,-9.923060891682718,-17.0407498232601,7.117688931577382,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-09-08,-11.18870727568408,-17.558455096605172,6.369747820921091,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-09-13,-9.602083096419186,-16.54112131143814,6.939038215018954,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-09-20,-10.00966048399477,-16.22654340395034,6.216882919955571,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-09-25,-9.889718881458975,-16.63919988893512,6.749481007476144,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
