date,image_id,orbit_pass,vv_mean,vh_mean,vv_vh_ratio_mean,latitude,longitude,buffer_m
2025-01-04,S1A_IW_GRDH_1SDV_20250104T004025_20250104T004050_057287_070C53_6FC9,DESCENDING,-10.064089251949527,-16.90111204908814,6.837022797138614,13.294219,78.624294,500
2025-01-11,S1A_IW_GRDH_1SDV_20250111T003153_20250111T003218_057389_071055_60E9,DESCENDING,-11.278932562599964,-17.55967530153182,6.280742738931854,13.294219,78.624294,500
2025-01-16,S1A_IW_GRDH_1SDV_20250116T004024_20250116T004049_057462_07133B_570D,DESCENDING,-9.930758098998858,-17.26181087424621,7.33105277524735,13.294219,78.624294,500
2025-01-23,S1A_IW_GRDH_1SDV_20250123T003152_20250123T003217_057564_071748_3F1B,DESCENDING,-11.690845167824532,-18.284298691355225,6.593453523530693,13.294219,78.624294,500
2025-01-28,S1A_IW_GRDH_1SDV_20250128T004023_20250128T004048_057637_071A37_88FB,DESCENDING,-10.829777352117516,-17.934801042239677,7.105023690122161,13.294219,78.624294,500
2025-02-04,S1A_IW_GRDH_1SDV_20250204T003152_20250204T003217_057739_071E36_8698,DESCENDING,-12.366817849829312,-19.18908482469061,6.822266974861298,13.294219,78.624294,500
2025-02-09,S1A_IW_GRDH_1SDV_20250209T004023_20250209T004048_057812_07211B_352B,DESCENDING,-11.342475739161433,-19.10338525330635,7.760909514144917,13.294219,78.624294,500
2025-02-16,S1A_IW_GRDH_1SDV_20250216T003151_20250216T003216_057914_07253C_1A26,DESCENDING,-12.930034745098606,-19.921214318857082,6.991179573758476,13.294219,78.624294,500
2025-02-21,S1A_IW_GRDH_1SDV_20250221T004022_20250221T004047_057987_072837_FB18,DESCENDING,-11.425651541944843,-19.30225176024076,7.876600218295918,13.294219,78.624294,500
2025-02-28,S1A_IW_GRDH_1SDV_20250228T003151_20250228T003216_058089_072C5E_21E5,DESCENDING,-13.132307341834089,-20.252526090410083,7.120218748575994,13.294219,78.624294,500
2025-03-05,S1A_IW_GRDH_1SDV_20250305T004022_20250305T004047_058162_072F64_5CE9,DESCENDING,-11.939832724761535,-20.14609461362999,8.206261888868456,13.294219,78.624294,500
2025-03-12,S1A_IW_GRDH_1SDV_20250312T003151_20250312T003216_058264_073375_22D8,DESCENDING,-13.087799250151587,-20.007460669146198,6.919661418994611,13.294219,78.624294,500
2025-03-17,S1A_IW_GRDH_1SDV_20250317T004022_20250317T004047_058337_07365B_B6FE,DESCENDING,-11.74168284359654,-19.970808608509575,8.229125764913036,13.294219,78.624294,500
2025-03-24,S1A_IW_GRDH_1SDV_20250324T003151_20250324T003216_058439_073A5F_9348,DESCENDING,-13.384840883563713,-20.4025163034198,7.017675419856088,13.294219,78.624294,500
2025-03-29,S1A_IW_GRDH_1SDV_20250329T004023_20250329T004048_058512_073D50_0EFA,DESCENDING,-11.977412634906312,-20.37124955408462,8.393836919178309,13.294219,78.624294,500
2025-04-05,S1A_IW_GRDH_1SDV_20250405T003152_20250405T003217_058614_074177_53F0,DESCENDING,-11.342738179395749,-17.966395453475123,6.623657274079374,13.294219,78.624294,500
2025-04-10,S1A_IW_GRDH_1SDV_20250410T004023_20250410T004048_058687_074479_F5ED,DESCENDING,-11.7163472301665,-19.998264861923392,8.281917631756892,13.294219,78.624294,500
2025-04-17,S1A_IW_GRDH_1SDV_20250417T003151_20250417T003216_058789_07489D_8806,DESCENDING,-13.049309796393674,-19.99748315094314,6.948173354549466,13.294219,78.624294,500
2025-04-22,S1A_IW_GRDH_1SDV_20250422T004023_20250422T004048_058862_074BA3_E069,DESCENDING,-11.321882841022415,-19.154139325348847,7.832256484326432,13.294219,78.624294,500
2025-04-29,S1A_IW_GRDH_1SDV_20250429T003152_20250429T003217_058964_074FCB_EC16,DESCENDING,-12.919493500183997,-20.11437816376396,7.194884663579963,13.294219,78.624294,500
2025-05-04,S1A_IW_GRDH_1SDV_20250504T004023_20250504T004048_059037_0752A9_DCF3,DESCENDING,-11.225291934215388,-19.33372081553985,8.10842888132446,13.294219,78.624294,500
2025-05-11,S1A_IW_GRDH_1SDV_20250511T003152_20250511T003217_059139_07566F_3943,DESCENDING,-11.479484252980523,-18.459389646872186,6.979905393891663,13.294219,78.624294,500
2025-05-16,S1A_IW_GRDH_1SDV_20250516T004023_20250516T004048_059212_0758FB_AB33,DESCENDING,-8.740924596745096,-16.162209100155962,7.421284503410867,13.294219,78.624294,500
2025-05-23,S1A_IW_GRDH_1SDV_20250523T003151_20250523T003216_059314_075C80_04EB,DESCENDING,-11.558986595657528,-18.007434022439888,6.44844742678236,13.294219,78.624294,500
2025-05-28,S1A_IW_GRDH_1SDV_20250528T004022_20250528T004047_059387_075F14_DB14,DESCENDING,-10.577372839435052,-17.701336825558762,7.1239639861237105,13.294219,78.624294,500
2025-06-04,S1A_IW_GRDH_1SDV_20250604T003151_20250604T003216_059489_076290_D41E,DESCENDING,-11.849468214526295,-18.461724673446614,6.612256458920319,13.294219,78.624294,500
2025-06-09,S1A_IW_GRDH_1SDV_20250609T004022_20250609T004047_059562_07650C_D156,DESCENDING,-8.767684574335227,-16.654268492565407,7.88658391823018,13.294219,78.624294,500
2025-06-16,S1A_IW_GRDH_1SDV_20250616T003150_20250616T003215_059664_076888_B875,DESCENDING,-12.085778900222403,-18.917082773485856,6.831303873263453,13.294219,78.624294,500
